lat,lng,pop
-108.47,-46.04,0
-22.08,-0.88,0
-34.64,-74.93,0
102.79,-60.43,0
-135.79,-39.64,0
147.15,-69.62,0
-133.57,-59.84,0
-147.71,33.26,0
-35.52,-39.48,0
-115.85,5.61,0
-169.46,-64.7,0
-130.36,20.14,0
-139.42,-79.7,0
-90.43,-64.44,0
-104.42,-10.76,0
169.25,34.72,0
94.11,-25.49,0
72.57,-79.22,0
20.15,-64.94,0
-121.84,-10.45,0
-49.32,30.22,0
-93.99,-28.51,0
84.45,-7.46,0
68.44,8.36,1
69.62,15.6,1
73.6,3.33,1
54.16,-26.65,1
53.2,-13.2,1
132.29,-10.46,1
122.05,-17.91,1
129.55,-17.26,1
127.18,-4.35,1
2.82,-4.21,1
5.27,-10.97,1
36.84,-39.75,1
27.31,-39.66,1
41.5,-33.61,1
138.6,25.33,1
127.45,16.79,1
135.62,18.3,1
-3.42,26.39,1
4.9,27.57,1
57.71,65.46,1
40.35,66.9,1
-93.06,22.93,1
10.54,64.7,1
23.84,66.43,1
-3.04,65.34,1
8.9,70.42,1
-108.72,16.33,1
-116.02,20.62,1
88.18,7.72,1
90.18,15.63,1
23.03,28.17,1
18.38,21.18,1
27.11,20.89,1
-68.62,4.35,1
38.38,79.31,1
-7.02,83.75,1
75.2,77.19,1
77.5,85.12,1
28.82,72.77,1
5.28,76.88,1
53.1,72.58,1
-44.61,50.16,1
-34.21,46.84,1
-53.3,45.1,1
-43.55,42.48,1
-46.08,57.83,1
-34.04,54.43,1
-56.29,52.43,1
10.88,-25.3,1
2.59,-23.67,1
7.94,-18.06,1
5.38,-31.21,1
19.36,-26.45,1
-65.99,34.03,1
-64.15,46.35,1
-60.33,39.6,1
63.42,19.48,1
-34.69,15.07,1
-27.98,10.94,1
-41.71,11.49,1
-34.8,7.43,1
-34.57,22.71,1
-27.43,18.43,1
-41.66,19.0,1
-42.52,-27.85,1
-62.81,-7.72,1
-69.15,-3.28,1
-56.02,-4.13,1
109.7,6.0,1
-57.7,-39.1,1
-50.69,-37.42,1
-62.71,-43.46,1
-64.41,-36.82,1
-53.38,-43.86,1
88.18,36.0,1
-106.39,47.97,1
89.57,64.44,1
96.65,71.62,1
99.51,58.32,1
107.61,64.77,1
73.23,62.04,1
74.55,69.53,1
147.77,-28.32,1
161.56,-40.07,1
151.11,-42.2,1
163.56,-32.08,1
179.47,-33.71,1
172.08,-29.25,1
-172.84,-29.76,1
179.71,-25.98,1
179.17,-41.44,1
-172.39,-37.69,1
145.31,-15.07,1
137.38,-16.31,1
140.25,-9.25,1
150.66,-20.77,1
142.28,-22.23,1
153.14,-13.56,1
-134.71,0.08,1
-128.19,-2.23,1
-140.62,-4.86,1
-133.78,-6.99,1
-135.69,7.66,1
-128.89,4.92,1
-141.83,2.6,1
137.98,4.53,1
146.08,5.8,1
132.72,10.82,1
140.92,12.16,1
129.9,3.17,1
130.06,-30.05,1
122.08,-30.04,1
134.06,-23.22,1
126.3,-23.75,1
125.56,-36.61,1
138.74,-29.5,1
127.13,55.35,1
139.51,59.05,1
138.38,51.78,1
113.82,57.73,1
125.1,62.83,1
117.73,50.97,1
50.72,17.89,1
-119.12,59.04,1
-106.4,55.64,1
-127.85,54.07,1
-123.03,66.53,1
-106.49,63.57,1
-132.91,60.88,1
-83.85,-9.9,1
-91.54,-13.05,1
-84.83,-18.01,1
-90.42,-4.97,1
-169.12,25.3,1
-174.65,19.49,1
-166.91,17.86,1
-171.61,32.7,1
-163.04,30.88,1
-177.49,26.62,1
-70.9,-26.73,1
-78.75,-30.16,1
-77.89,-22.64,1
-34.88,-0.56,1
-41.87,3.64,1
-95.55,7.46,1
-89.36,2.95,1
-102.66,4.34,1
-96.65,-0.18,1
-101.87,11.89,1
58.16,10.45,1
55.43,5.36,1
62.16,6.27,1
57.34,16.15,1
63.47,12.91,1
52.38,11.41,1
152.07,20.31,1
143.91,19.47,1
155.4,27.32,1
146.94,26.45,1
156.81,14.04,1
149.04,13.24,1
160.3,20.77,1
-23.42,50.32,1
-14.32,45.25,1
-21.72,57.55,1
-133.29,42.48,1
-124.09,32.44,1
-132.15,35.35,1
-10.75,-34.72,1
-1.11,-37.13,1
-18.88,-39.71,1
-8.82,-42.75,1
-12.34,-26.66,1
-3.59,-29.25,1
-19.77,-31.59,1
-170.27,4.82,1
-162.98,2.47,1
-175.12,-0.12,1
-168.34,-2.49,1
-172.3,12.26,1
-164.9,10.17,1
-177.12,6.94,1
36.52,-50.1,1
41.42,-45.38,1
31.8,-45.3,1
36.39,-55.86,1
27.67,-51.48,1
45.32,-51.63,1
-167.47,45.77,1
-178.26,47.75,1
-159.7,50.33,1
-170.42,53.09,1
-165.16,38.26,1
-174.56,40.27,1
-158.22,43.08,1
1.77,20.48,1
9.82,21.02,1
-173.57,-14.2,1
-179.98,-11.25,1
-167.18,-9.71,1
-173.88,-7.07,1
-173.23,-21.84,1
179.89,-18.43,1
-166.38,-17.22,1
101.37,45.01,1
111.17,45.41,1
94.61,51.19,1
-52.87,-55.35,1
-58.74,-49.43,1
-39.65,-54.21,1
-47.53,-49.01,1
-60.85,-61.78,1
-66.13,-55.02,1
-44.16,-61.37,1
-11.56,24.23,1
-5.88,19.18,1
-19.66,21.52,1
158.47,0.78,1
165.29,1.92,1
155.71,-6.41,1
162.72,-4.95,1
153.9,6.92,1
161.21,7.84,1
151.03,-0.48,1
146.77,46.92,1
137.06,44.66,1
149.88,33.68,1
153.46,41.09,1
-156.97,-28.17,1
-165.47,-25.16,1
-150.22,-22.72,1
-158.53,-20.13,1
-155.16,-36.2,1
-164.41,-33.26,1
-148.02,-30.63,1
-55.44,11.44,1
-61.68,14.72,1
-48.56,15.25,1
-55.16,18.56,1
-55.73,3.8,1
-48.78,7.7,1
97.57,-10.86,1
110.23,-13.66,1
102.95,-15.7,1
-5.25,2.3,1
-10.03,-0.9,1
-3.69,-3.24,1
-136.45,-19.14,1
-144.24,-17.23,1
-131.87,-13.8,1
-139.0,-11.98,1
-133.61,-26.38,1
-141.8,-24.83,1
-129.03,-20.61,1
-77.21,60.43,1
-69.46,53.43,1
-93.09,58.82,1
-83.05,52.91,1
-67.96,67.55,1
-60.73,60.04,1
-88.94,66.75,1
-117.01,-26.38,1
-121.48,-20.8,1
-108.56,-25.23,1
-113.72,-19.92,1
-121.0,-33.2,1
-125.46,-27.0,1
-111.62,-32.29,1
-67.13,23.72,1
-62.89,28.02,1
-61.43,21.4,1
-70.54,28.6,1
-78.63,-45.01,1
-87.47,-40.92,1
-79.17,-37.45,1
-77.9,-52.69,1
-88.17,-48.83,1
-69.29,-48.12,1
168.31,-52.6,1
155.97,-55.16,1
169.86,-45.02,1
159.09,-47.86,1
178.49,-56.17,1
166.31,-59.64,1
178.85,-48.99,1
12.53,-45.77,1
22.44,-45.76,1
5.54,-51.95,1
17.15,-52.22,1
8.66,-38.68,1
18.02,-39.36,1
1.88,-44.8,1
172.56,14.12,1
164.62,14.33,1
177.24,20.33,1
168.78,20.76,1
175.84,8.0,1
168.44,8.25,1
-179.66,13.66,1
48.75,5.91,1
49.12,-6.77,1
52.41,-0.44,1
112.87,-23.72,1
115.04,-18.33,1
108.11,-20.02,1
107.46,-26.76,1
119.16,-23.89,1
-31.24,69.66,1
-33.26,62.0,1
-52.38,73.5,1
-48.28,65.69,1
-11.05,71.34,1
,,1
-27.01,77.13,1
60.88,-59.04,1
47.7,-58.17,1
67.57,-52.32,1
55.87,-52.49,1
68.84,-65.75,1
51.27,-65.15,1
75.41,-58.43,1
109.83,-40.09,1
101.32,-44.43,1
108.32,-33.28,1
100.9,-37.14,1
119.63,-42.31,1
111.86,-47.49,1
116.78,-35.53,1
163.57,55.25,1
177.08,54.85,1
157.93,48.36,1
169.91,48.67,1
154.83,61.37,1
171.51,61.77,1
150.29,54.17,1
-161.67,-48.66,1
-171.85,-45.32,1
-153.02,-43.88,1
-163.16,-41.19,1
-159.85,-55.49,1
-171.2,-52.44,1
-150.49,-50.98,1
55.33,-40.07,1
65.26,-39.54,1
50.93,-46.19,1
61.32,-46.25,1
50.27,-33.52,1
59.3,-33.22,1
46.03,-39.79,1
-16.43,-55.25,1
-27.85,-51.56,1
-6.43,-50.43,1
-17.79,-47.66,1
